name,metric,cluster_num,value,n,network_id,clustering_id
gold_standard,Modularity,Entire Graph,0.3804,10000,1,1
gold_standard,Coverage,Entire Graph,0.4445,10000,1,1
gold_standard,Conductance,Entire Graph,0.2399,10000,1,1
gold_standard,Modularity,Entire Graph,0.3817,10000,2,1
gold_standard,Coverage,Entire Graph,0.4484,10000,2,1
gold_standard,Conductance,Entire Graph,0.2506,10000,2,1
blondel,Modularity,Entire Graph,0.3808,10000,1,1
blondel,Coverage,Entire Graph,0.4464,10000,1,1
blondel,Conductance,Entire Graph,0.2422,10000,1,1
blondel,Modularity,Entire Graph,0.3808,10000,1,2
blondel,Coverage,Entire Graph,0.4464,10000,1,2
blondel,Conductance,Entire Graph,0.2422,10000,1,2
blondel,Modularity,Entire Graph,0.3816,10000,2,1
blondel,Coverage,Entire Graph,0.4500,10000,2,1
blondel,Conductance,Entire Graph,0.2525,10000,2,1
blondel,Modularity,Entire Graph,0.3816,10000,2,2
blondel,Coverage,Entire Graph,0.4500,10000,2,2
blondel,Conductance,Entire Graph,0.2525,10000,2,2
blondel,0.5_precision,Entire Graph,0.9721153301667361,10000,1,1
blondel,0.5_recall,Entire Graph,0.1737028335055711,10000,1,1
blondel,0.6_precision,Entire Graph,0.9721153301667361,10000,1,1
blondel,0.6_recall,Entire Graph,0.1737028335055711,10000,1,1
blondel,0.7_precision,Entire Graph,0.9721153301667361,10000,1,1
blondel,0.7_recall,Entire Graph,0.1737028335055711,10000,1,1
blondel,0.8_precision,Entire Graph,0.9519339242710446,10000,1,1
blondel,0.8_recall,Entire Graph,0.168574628377366,10000,1,1
blondel,0.9_precision,Entire Graph,0.9262484985856189,10000,1,1
blondel,0.9_recall,Entire Graph,0.16384988452218735,10000,1,1
blondel,1.0_precision,Entire Graph,0.42857142857142855,10000,1,1
blondel,1.0_recall,Entire Graph,0.06924717982687002,10000,1,1
blondel,NLS,Entire Graph,0.81565107999176922,10000,1,1
blondel,Block_size_median,Entire Graph,30.0,10000,1,1
blondel,Sample_block_num,Entire Graph,35,10000,1,1
blondel,Original_block_num,Entire Graph,39,10000,1,1
blondel,ANC,Entire Graph,0.8974358974358975,10000,1,1
blondel,Scikit-learn NMI,Entire Graph,0.96242894272997337,10000,1,1
blondel,Adjusted Rand Score,Entire Graph,0.9454174638769723,10000,1,1
blondel,Lancichinetti NMI,Entire Graph,0.83597,10000,1,1
blondel,0.5_precision,Entire Graph,0.9721153301667361,10000,1,2
blondel,0.5_recall,Entire Graph,0.1737028335055711,10000,1,2
blondel,0.6_precision,Entire Graph,0.9721153301667361,10000,1,2
blondel,0.6_recall,Entire Graph,0.1737028335055711,10000,1,2
blondel,0.7_precision,Entire Graph,0.9721153301667361,10000,1,2
blondel,0.7_recall,Entire Graph,0.1737028335055711,10000,1,2
blondel,0.8_precision,Entire Graph,0.9519339242710446,10000,1,2
blondel,0.8_recall,Entire Graph,0.168574628377366,10000,1,2
blondel,0.9_precision,Entire Graph,0.9262484985856189,10000,1,2
blondel,0.9_recall,Entire Graph,0.16384988452218735,10000,1,2
blondel,1.0_precision,Entire Graph,0.42857142857142855,10000,1,2
blondel,1.0_recall,Entire Graph,0.06924717982687002,10000,1,2
blondel,NLS,Entire Graph,0.81565107999176922,10000,1,2
blondel,Block_size_median,Entire Graph,30.0,10000,1,2
blondel,Sample_block_num,Entire Graph,35,10000,1,2
blondel,Original_block_num,Entire Graph,39,10000,1,2
blondel,ANC,Entire Graph,0.8974358974358975,10000,1,2
blondel,Scikit-learn NMI,Entire Graph,0.96242894272997337,10000,1,2
blondel,Adjusted Rand Score,Entire Graph,0.9454174638769723,10000,1,2
blondel,Lancichinetti NMI,Entire Graph,0.83597,10000,1,2
blondel,0.5_precision,Entire Graph,0.9759732013652237,10000,2,1
blondel,0.5_recall,Entire Graph,0.17877723273825993,10000,2,1
blondel,0.6_precision,Entire Graph,0.9759732013652237,10000,2,1
blondel,0.6_recall,Entire Graph,0.17877723273825993,10000,2,1
blondel,0.7_precision,Entire Graph,0.9759732013652237,10000,2,1
blondel,0.7_recall,Entire Graph,0.17877723273825993,10000,2,1
blondel,0.8_precision,Entire Graph,0.9482584117456722,10000,2,1
blondel,0.8_recall,Entire Graph,0.17181740989738678,10000,2,1
blondel,0.9_precision,Entire Graph,0.9482584117456722,10000,2,1
blondel,0.9_recall,Entire Graph,0.17181740989738678,10000,2,1
blondel,1.0_precision,Entire Graph,0.5185185185185185,10000,2,1
blondel,1.0_recall,Entire Graph,0.09069258568833252,10000,2,1
blondel,NLS,Entire Graph,0.87216285801890014,10000,2,1
blondel,Block_size_median,Entire Graph,51.0,10000,2,1
blondel,Sample_block_num,Entire Graph,27,10000,2,1
blondel,Original_block_num,Entire Graph,29,10000,2,1
blondel,ANC,Entire Graph,0.9310344827586207,10000,2,1
blondel,Scikit-learn NMI,Entire Graph,0.97199215924716442,10000,2,1
blondel,Adjusted Rand Score,Entire Graph,0.9578072512856469,10000,2,1
blondel,Lancichinetti NMI,Entire Graph,0.902268,10000,2,1
blondel,0.5_precision,Entire Graph,0.9759732013652237,10000,2,2
blondel,0.5_recall,Entire Graph,0.17877723273825993,10000,2,2
blondel,0.6_precision,Entire Graph,0.9759732013652237,10000,2,2
blondel,0.6_recall,Entire Graph,0.17877723273825993,10000,2,2
blondel,0.7_precision,Entire Graph,0.9759732013652237,10000,2,2
blondel,0.7_recall,Entire Graph,0.17877723273825993,10000,2,2
blondel,0.8_precision,Entire Graph,0.9482584117456722,10000,2,2
blondel,0.8_recall,Entire Graph,0.17181740989738678,10000,2,2
blondel,0.9_precision,Entire Graph,0.9482584117456722,10000,2,2
blondel,0.9_recall,Entire Graph,0.17181740989738678,10000,2,2
blondel,1.0_precision,Entire Graph,0.5185185185185185,10000,2,2
blondel,1.0_recall,Entire Graph,0.09069258568833252,10000,2,2
blondel,NLS,Entire Graph,0.87216285801890014,10000,2,2
blondel,Block_size_median,Entire Graph,51.0,10000,2,2
blondel,Sample_block_num,Entire Graph,27,10000,2,2
blondel,Original_block_num,Entire Graph,29,10000,2,2
blondel,ANC,Entire Graph,0.9310344827586207,10000,2,2
blondel,Scikit-learn NMI,Entire Graph,0.97199215924716442,10000,2,2
blondel,Adjusted Rand Score,Entire Graph,0.9578072512856469,10000,2,2
blondel,Lancichinetti NMI,Entire Graph,0.902268,10000,2,2
